Year,Units,Value
2015,млн.долларов США,4.265647
2016,млн.долларов США,6.449895
2017,млн.долларов США,11.380075999999999
2015,млн.долларов США,0.044881
2015,млн.долларов США,4.265466069691995
2016,млн.долларов США,6.446885521342072
2017,млн.долларов США,10.77639201541752
2015,млн.долларов США,0.0448810323664322
