Year,Units,Регионы,Value
2010,млн.тонн,,2439.3905
2011,млн.тонн,,2974.9231
2012,млн.тонн,,3231.8419
2013,млн.тонн,,3508.0407
2014,млн.тонн,,3749.8406
2015,млн.тонн,,3733.7548
2016,млн.тонн,,3729.184
2017,млн.тонн,,3946.1
2018,млн.тонн,,4103.6475
2010,млн.тонн,Акмолинская,95.8478
2011,млн.тонн,Акмолинская,112.3756
2012,млн.тонн,Акмолинская,112.5938
2013,млн.тонн,Акмолинская,121.5251
2014,млн.тонн,Акмолинская,121.2567
2015,млн.тонн,Акмолинская,120.29
2016,млн.тонн,Акмолинская,113.1055
2017,млн.тонн,Акмолинская,116.1388
2018,млн.тонн,Акмолинская,126.53205
2010,млн.тонн,Актюбинская,40.9726
2011,млн.тонн,Актюбинская,54.524800000000006
2012,млн.тонн,Актюбинская,58.0505
2013,млн.тонн,Актюбинская,62.17330000000001
2014,млн.тонн,Актюбинская,63.6389
2015,млн.тонн,Актюбинская,70.0716
2016,млн.тонн,Актюбинская,76.3227
2017,млн.тонн,Актюбинская,76.82260000000002
2018,млн.тонн,Актюбинская,79.12997999999997
2010,млн.тонн,Алматинская,116.6198
2011,млн.тонн,Алматинская,142.6943
2012,млн.тонн,Алматинская,158.0661
2013,млн.тонн,Алматинская,159.01
2014,млн.тонн,Алматинская,159.91299999999998
2015,млн.тонн,Алматинская,167.2421
2016,млн.тонн,Алматинская,178.9613
2017,млн.тонн,Алматинская,181.0825
2018,млн.тонн,Алматинская,184.52489000000003
2010,млн.тонн,Атырауская,118.4847
2011,млн.тонн,Атырауская,139.5758
2012,млн.тонн,Атырауская,140.597
2013,млн.тонн,Атырауская,151.34429999999998
2014,млн.тонн,Атырауская,151.15679999999998
2015,млн.тонн,Атырауская,144.3589
2016,млн.тонн,Атырауская,145.0933
2017,млн.тонн,Атырауская,154.22220000000004
2018,млн.тонн,Атырауская,173.7992
2010,млн.тонн,Западно-Казахстанская,30.2667
2011,млн.тонн,Западно-Казахстанская,33.960800000000006
2012,млн.тонн,Западно-Казахстанская,35.81
2013,млн.тонн,Западно-Казахстанская,38.868
2014,млн.тонн,Западно-Казахстанская,39.9878
2015,млн.тонн,Западно-Казахстанская,39.4995
