Year,Units,Доходы бюджета,Value
2017,"Доля к ВВП, в процентах",Hалоги на имущество,0.4510463800108314
2018,"Доля к ВВП, в процентах",Hалоги на имущество,0.4816782596705393
2010,млн.тенге,Земельный налог,13467103.4462
2011,млн.тенге,Земельный налог,12977289.9903
2012,млн.тенге,Земельный налог,13038561.179000001
2013,млн.тенге,Земельный налог,14150049.5251
2014,млн.тенге,Земельный налог,14300176.04821
2015,млн.тенге,Земельный налог,14935091.687020002
2016,млн.тенге,Земельный налог,15255135.08386
2017,млн.тенге,Земельный налог,15353337.879910002
2018,млн.тенге,Земельный налог,16875844.36687
2010,"Доля к ВВП, в процентах",Земельный налог,0.061731763891728984
2011,"Доля к ВВП, в процентах",Земельный налог,0.045948609479810235
2012,"Доля к ВВП, в процентах",Земельный налог,0.04203928013446162
2013,"Доля к ВВП, в процентах",Земельный налог,0.039306757574109966
2014,"Доля к ВВП, в процентах",Земельный налог,0.03604253522352646
2015,"Доля к ВВП, в процентах",Земельный налог,0.0365302878450138
2016,"Доля к ВВП, в процентах",Земельный налог,0.032477669982233774
2017,"Доля к ВВП, в процентах",Земельный налог,0.028913309358023876
2018,"Доля к ВВП, в процентах",Земельный налог,0.028974930047697862
2010,млн.тенге,Hалог на транспортные средства,26261779.1185
2011,млн.тенге,Hалог на транспортные средства,29975091.8961
2012,млн.тенге,Hалог на транспортные средства,30960804.7741
2013,млн.тенге,Hалог на транспортные средства,36029294.302
2014,млн.тенге,Hалог на транспортные средства,38843795.56726
2015,млн.тенге,Hалог на транспортные средства,42277825.41119
2016,млн.тенге,Hалог на транспортные средства,46879302.03746
2017,млн.тенге,Hалог на транспортные средства,59980798.90098
2018,млн.тенге,Hалог на транспортные средства,67191308.6814
2010,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.12038119068413553
2011,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.1061326203456045
2012,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.09982466065221092
2013,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.1000840833936917
2014,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.09790291149063693
2015,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.10340888185335058
2016,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.09980445877407727
2017,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.11295546334811847
2018,"Доля к ВВП, в процентах",Hалог на транспортные средства,0.11536391463047893
2010,млн.тенге,Единый земельный налог,761649.2541
2011,млн.тенге,Единый земельный налог,818271.1437
2012,млн.тенге,Единый земельный налог,820242.3827
2013,млн.тенге,Единый земельный налог,829939.2835
2014,млн.тенге,Единый земельный налог,876472.42874
2015,млн.тенге,Единый земельный налог,832773.04591
2016,млн.тенге,Единый земельный налог,943671.05351
2017,млн.тенге,Единый земельный налог,1003674.39559
2018,млн.тенге,Единый земельный налог,1036102.79185
2010,"Доля к ВВП, в процентах",Единый земельный налог,0.0034913188355792804
2011,"Доля к ВВП, в процентах",Единый земельный налог,0.0028972475192102732
2012,"Доля к ВВП, в процентах",Единый земельный налог,0.002644647582742578
2013,"Доля к ВВП, в процентах",Единый земельный налог,0.002305449331459812
2014,"Доля к ВВП, в процентах",Единый земельный налог,0.002209083879723669
2015,"Доля к ВВП, в процентах",Единый земельный налог,0.0020369100983223475
2016,"Доля к ВВП, в процентах",Единый земельный налог,0.002009043963177397
2017,"Доля к ВВП, в процентах",Единый земельный налог,0.0018901133109558985
2018,"Доля к ВВП, в процентах",Единый земельный налог,0.0017789335610972022
2010,млн.тенге,Налог на добавленную стоимость,677229029.0672
2011,млн.тенге,Налог на добавленную стоимость,865212735.0064
2012,млн.тенге,Налог на добавленную стоимость,914360839.252
2013,млн.тенге,Налог на добавленную стоимость,1327649556.1342
2014,млн.тенге,Налог на добавленную стоимость,1198169867.41276
2015,млн.тенге,Налог на добавленную стоимость,944438030.3032
2016,млн.тенге,Налог на добавленную стоимость,1495681958.48907
2017,млн.тенге,Налог на добавленную стоимость,1664699270.11816
2018,млн.тенге,Налог на добавленную стоимость,2034313934.8133302
2010,"Доля к ВВП, в процентах",Налог на добавленную стоимость,3.1043455402280857
2011,"Доля к ВВП, в процентах",Налог на добавленную стоимость,3.0634533178716903
2012,"Доля к ВВП, в процентах",Налог на добавленную стоимость,2.9481068453478207
2013,"Доля к ВВП, в процентах",Налог на добавленную стоимость,3.688015307209528
2014,"Доля к ВВП, в процентах",Налог на добавленную стоимость,3.0198984616974736
2015,"Доля к ВВП, в процентах",Налог на добавленную стоимость,2.31003557405262
2016,"Доля к ВВП, в процентах",Налог на добавленную стоимость,3.184256630908696
2017,"Доля к ВВП, в процентах",Налог на добавленную стоимость,3.1349511983308904
2018,"Доля к ВВП, в процентах",Налог на добавленную стоимость,3.4928091700104797
2010,млн.тенге,Поступления за использование природных и других ресурсов,231272772.3282
2011,млн.тенге,Поступления за использование природных и других ресурсов,298039034.3182
2012,млн.тенге,Поступления за использование природных и других ресурсов,303927968.3336
2013,млн.тенге,Поступления за использование природных и других ресурсов,312444298.323
2014,млн.тенге,Поступления за использование природных и других ресурсов,278082952.64522004
2015,млн.тенге,Поступления за использование природных и других ресурсов,266591324.19881
2016,млн.тенге,Поступления за использование природных и других ресурсов,359944636.9235
2017,млн.тенге,Поступления за использование природных и других ресурсов,414946358.18392
2018,млн.тенге,Поступления за использование природных и других ресурсов,493648785.33085996
2010,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,1.0601296880940296
2011,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,1.0552649442112183
2012,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,0.9799327415092836
2013,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,0.8679243325481056
2014,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,0.7008874983068597
2015,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,0.6520654853715917
2016,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,0.7663100369556631
2017,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,0.7814243726672542
2018,"Доля к ВВП, в процентах",Поступления за использование природных и других ресурсов,0.8475687919457615
2010,млн.тенге,Сборы за регистрацию,9731076.5766
2011,млн.тенге,Сборы за регистрацию,11953180.6484
2012,млн.тенге,Сборы за регистрацию,13880399.309
2013,млн.тенге,Сборы за регистрацию,15562475.915
2014,млн.тенге,Сборы за регистрацию,17185939.63817
2015,млн.тенге,Сборы за регистрацию,22446793.20406
2016,млн.тенге,Сборы за регистрацию,26902505.96605
2017,млн.тенге,Сборы за регистрацию,26582177.40883
2018,млн.тенге,Сборы за регистрацию,29622847.161629997
2010,"Доля к ВВП, в процентах",Сборы за регистрацию,0.04460621573442427
2011,"Доля к ВВП, в процентах",Сборы за регистрацию,0.04232255194000328
2012,"Доля к ВВП, в процентах",Сборы за регистрацию,0.044753557307309566
