Year,Units,Value
2010,млн.тонн,2439.3905
2011,млн.тонн,2974.9231
2012,млн.тонн,3231.8419
2013,млн.тонн,3508.0407
2014,млн.тонн,3749.8406
2015,млн.тонн,3733.7548
2016,млн.тонн,3729.184
2017,млн.тонн,3946.1
2018,млн.тонн,4103.6475
2010,млн.тонн,13186.4941
2011,млн.тонн,16647.1626
2012,млн.тонн,18484.6485
2013,млн.тонн,20004.2963
2014,млн.тонн,21281.1651
2015,млн.тонн,21839.1375
2016,млн.тонн,22332.7906
2017,млн.тонн,22744.7
2018,млн.тонн,23021.597670000006
2010,млн.тонн,1971.7708100000002
2011,млн.тонн,2475.46041
2012,млн.тонн,2718.43909
2013,млн.тонн,2983.35009
2014,млн.тонн,3129.1097
2015,млн.тонн,3174.0218
2016,млн.тонн,3180.6557000000007
2017,млн.тонн,3322.3
2018,млн.тонн,3422.27694
2010,млн.тонн,28869.7
2011,млн.тонн,31554.9
2012,млн.тонн,21954.2
2013,млн.тонн,23873.5
2014,млн.тонн,19082.4
2015,млн.тонн,17178.2
2016,млн.тонн,18015.9
2017,млн.тонн,22449.9
2018,млн.тонн,29135.5
2010,млн.тонн,193.9595
2011,млн.тонн,214.079
2012,млн.тонн,213.2221
2013,млн.тонн,225.9157
2014,млн.тонн,225.0191
2015,млн.тонн,214.643
2016,млн.тонн,205.8276
2017,млн.тонн,232.81463
2018,млн.тонн,280.76336000000003
2010,млн.тонн,4.655
2011,млн.тонн,4.5569999999999995
2012,млн.тонн,4.0483
2013,млн.тонн,3.9845
2014,млн.тонн,3.6302
2015,млн.тонн,2.4766
2016,млн.тонн,2.5655
2017,млн.тонн,2.10262
2018,млн.тонн,1.8295099999999997
