Year,Units,Value
2010,тыс.тенге,428.8
2011,тыс.тенге,641.6
2012,тыс.тенге,612.2
2013,тыс.тенге,781.9
2014,тыс.тенге,1070.2
2015,тыс.тенге,1242.3
2016,тыс.тенге,1401.9
2017,тыс.тенге,1636.2
2018,тыс.тенге,1913.9
