Year,Units,Value
2011,единиц,102000.0
2012,единиц,137500.0
2013,единиц,187000.0
2014,единиц,256700.0
2015,единиц,295470.0
2016,единиц,108300.0
2017,единиц,152600.0
2018,единиц,215100.0
