Year,Units,Value
2010,на 100 000 человек,0.00053
2011,на 100 000 человек,5e-05
2012,на 100 000 человек,0.00015
2013,на 100 000 человек,2.9999999999999997e-05
2014,на 100 000 человек,9e-05
2015,на 100 000 человек,0.0
2016,на 100 000 человек,1e-05
2017,на 100 000 человек,0.00011
2018,на 100 000 человек,1e-05
