Year,Units,Value
2010,тыс.гектаров,5640.9
2011,тыс.гектаров,5646.8
2012,тыс.гектаров,5663.6
2013,тыс.гектаров,5669.2
2014,тыс.гектаров,5674.5
2015,тыс.гектаров,5675.0
2016,тыс.гектаров,5675.2
2017,тыс.гектаров,5699.2
2018,тыс.гектаров,5940.0
