Year,Units,Value
2010,тыс.тенге,0.0
2011,тыс.тенге,0.0
2012,тыс.тенге,0.0
2013,тыс.тенге,0.0
2014,тыс.тенге,0.0
2015,тыс.тенге,0.0
2016,тыс.тенге,0.0
2017,тыс.тенге,0.0
2010,тыс.тенге,0.0
2011,тыс.тенге,0.0
2012,тыс.тенге,0.0
2013,тыс.тенге,0.0
2014,тыс.тенге,125613.0
2015,тыс.тенге,40000.0
2016,тыс.тенге,107230.0
2017,тыс.тенге,104120.0
2010,тыс.тенге,0.0
2011,тыс.тенге,0.0
2012,тыс.тенге,0.0
2013,тыс.тенге,0.0
2014,тыс.тенге,398100.0
2015,тыс.тенге,183700.0
2016,тыс.тенге,231600.0
2017,тыс.тенге,222400.0
