Year,Units,Value
2010,"в процентах к 
2005 году",125.5
2011,"в процентах к 
2005 году",132.9
2012,"в процентах к 
2005 году",137.3
2013,"в процентах к 
2005 году",143.5
2014,"в процентах к 
2005 году",147.4
2015,"в процентах к 
2005 году",148.9
2016,"в процентах к 
2005 году",148.5
2017,"в процентах к 
2005 году",152.5
2018,"в процентах к 
2005 году",156.6
