Year,Units,Value
2012,тыс.единиц,1607.2
2013,тыс.единиц,1976.0
2014,тыс.единиц,2100.9
2015,тыс.единиц,2305.6
2016,тыс.единиц,2352.7
2017,тыс.единиц,2576.0
2018,тыс.единиц,2462.9
