Year,Units,Value
2010,тнэ на тыс.долл. США в ценах  2010 года,1.85
2011,тнэ на тыс.долл. США в ценах  2010 года,1.78
2012,тнэ на тыс.долл. США в ценах  2010 года,1.62
2013,тнэ на тыс.долл. США в ценах  2010 года,1.69
2014,тнэ на тыс.долл. США в ценах  2010 года,1.52
2015,тнэ на тыс.долл. США в ценах  2010 года,1.53
2016,тнэ на тыс.долл. США в ценах  2010 года,1.54
2017,тнэ на тыс.долл. США в ценах  2010 года,1.53
