Year,Units,Value
2010,процент,27.208284564083492
2011,процент,27.407385368840586
2012,процент,28.50209020109739
2013,процент,28.45558017446005
2014,процент,26.248224076767467
2015,процент,25.836666270579382
2016,процент,26.79929100574212
2017,процент,22.63874740436675
2018,процент,26.6
