Year,Units,Value
2010,"в процентах к 
предыдущему году",103.7
2011,"в процентах к 
предыдущему году",105.0
2012,"в процентах к 
предыдущему году",102.5
2013,"в процентах к 
предыдущему году",105.1
2014,"в процентах к 
предыдущему году",104.6
2015,"в процентах к 
предыдущему году",100.6
2016,"в процентах к 
предыдущему году",100.2
2017,"в процентах к 
предыдущему году",104.4
2018,"в процентах к 
предыдущему году",103.4
