Year,Units,Value
2010,кв.м.,18.4
2011,кв.м.,18.7
2012,кв.м.,19.6
2013,кв.м.,20.9
2014,кв.м.,21.0
2015,кв.м.,21.0
2016,кв.м.,21.4
2017,кв.м.,21.6
2018,кв.м.,21.7965425154738
2010,процент,48.0
2011,процент,54.0
2012,процент,65.0
2013,процент,79.0
2014,процент,91.0
2015,процент,98.0
2016,процент,100.0
2017,процент,100.0
2018,процент,100.0
